ipVersion,startIp,endIp,datacenter,domain
4,148.252.234.172,148.252.234.175,M247 UK Ltd,m247.com
4,89.39.178.0,89.39.179.255,Infinity Telecom SRL,infinity-network.ro
4,129.232.243.152,129.232.243.159,xneelo-tscolo,xneelo.co.za
4,85.10.227.64,85.10.227.71,Hetzner Online GmbH,www.hetzner.com
4,109.75.171.178,109.75.171.179,WebHosting UK Com LTD server,www.eukhost.com
4,77.135.163.216,77.135.163.219,Internet Services,isi.ch
4,51.83.172.88,51.83.172.91,OU IPHOSTER,iphoster.net
4,180.210.12.0,180.210.15.255,NHNCLOUD,www.nhn.com
4,81.1.60.112,81.1.60.119,Internet Services,isi.ch
4,128.204.197.187,128.204.197.187,Snel.com B.V.,www.snel.com
4,142.0.128.0,142.0.143.255,PEG TECH INC,www.petaexpress.com
4,46.4.146.160,46.4.146.191,Hetzner Online GmbH,www.hetzner.com
4,123.103.240.0,123.103.240.255,"SunnyVision Limited Internet Service Provider, Hong Kong Room 604, WellTech Centre Pat Tat Street, San Po Kong",sunnyvision.com
4,185.226.160.0,185.226.163.255,Hacer Yavuz trading as Omur Bilisim Teknolojileri,www.omurtech.com
4,202.188.234.192,202.188.234.223,TMNET,netmyne.com
4,77.95.231.140,77.95.231.140,Snel.com B.V.,www.snel.com
4,5.196.105.128,5.196.105.191,OVH SAS,proof.ovh.net
4,78.109.29.248,78.109.29.251,provisov5 - Sergey Tyagniryadno,hosting.ua
4,62.149.26.128,62.149.26.191,1 Cloud lab s.r.o.,colocall.net
4,91.213.17.0,91.213.17.255,xTom GmbH,xtom.com
4,81.1.24.88,81.1.24.95,Internet Services,isi.ch
4,164.39.89.128,164.39.89.131,M247 UK Ltd,m247.com
4,78.46.226.8,78.46.226.15,Hetzner Online GmbH,www.hetzner.com
4,77.95.230.105,77.95.230.105,Snel.com B.V.,www.snel.com
4,5.133.192.236,5.133.192.237,Internet Vikings International AB,internetvikings.com
4,46.231.186.156,46.231.186.159,Node4 Limited,node4.co.uk
4,148.252.207.12,148.252.207.13,M247 UK Ltd,m247.com
4,162.19.175.192,162.19.175.223,OVH GmbH,proof.ovh.net
4,88.198.199.64,88.198.199.127,Hetzner Online GmbH,www.hetzner.com
4,154.208.45.0,154.208.45.255,Cloud Innovation Ltd,cloudinnovation.org
4,83.64.187.144,83.64.187.151,conova communications GmbH,www.conova.com
4,103.190.216.0,103.190.217.255,PT SEA FIRST NICKEL INDUSTRY,sfnihost.com
